[UE3] [2025-07-19 11:34:39] [  5]   0.00-1.00   sec  7.23 MBytes  60.6 Mbits/sec  0.164 ms  0/5233 (0%)
[UE3] [2025-07-19 11:34:40] [  5]   1.00-2.00   sec  9.62 MBytes  80.7 Mbits/sec  0.089 ms  644/7611 (8.5%)
[UE3] [2025-07-19 11:34:41] [  5]   2.00-3.00   sec  11.0 MBytes  92.5 Mbits/sec  0.116 ms  2597/10582 (25%)
[UE3] [2025-07-19 11:34:42] [  5]   3.00-4.00   sec  10.1 MBytes  85.0 Mbits/sec  0.092 ms  2706/10046 (27%)
[UE3] [2025-07-19 11:34:43] [  5]   4.00-5.00   sec  10.3 MBytes  86.7 Mbits/sec  0.109 ms  2695/10177 (26%)
[UE3] [2025-07-19 11:34:44] [  5]   5.00-6.00   sec  10.1 MBytes  85.0 Mbits/sec  0.097 ms  2686/10022 (27%)
[UE3] [2025-07-19 11:34:45] [  5]   6.00-7.00   sec  11.0 MBytes  92.0 Mbits/sec  0.118 ms  3161/11098 (28%)
[UE3] [2025-07-19 11:34:46] [  5]   7.00-8.00   sec  10.1 MBytes  85.0 Mbits/sec  0.077 ms  2680/10016 (27%)
[UE3] [2025-07-19 11:34:47] [  5]   8.00-9.00   sec  10.3 MBytes  86.8 Mbits/sec  0.077 ms  2783/10275 (27%)
[UE3] [2025-07-19 11:34:48] [  5]   9.00-10.00  sec  10.1 MBytes  85.1 Mbits/sec  0.085 ms  2834/10183 (28%)
[UE3] [2025-07-19 11:34:49] [  5]  10.00-11.00  sec  10.9 MBytes  91.8 Mbits/sec  0.103 ms  2948/10872 (27%)
[UE3] [2025-07-19 11:34:50] [  5]  11.00-12.00  sec  9.67 MBytes  81.2 Mbits/sec  0.128 ms  2677/9683 (28%)
[UE3] [2025-07-19 11:34:51] [  5]  12.00-13.00  sec  11.0 MBytes  91.8 Mbits/sec  0.079 ms  3179/11110 (29%)
[UE3] [2025-07-19 11:34:52] [  5]  13.00-14.00  sec  10.1 MBytes  85.0 Mbits/sec  0.075 ms  2567/9902 (26%)
[UE3] [2025-07-19 11:34:53] [  5]  14.00-15.00  sec  10.4 MBytes  86.8 Mbits/sec  0.080 ms  2941/10437 (28%)
[UE3] [2025-07-19 11:34:54] [  5]  15.00-16.00  sec  10.1 MBytes  85.0 Mbits/sec  0.076 ms  2822/10163 (28%)
[UE3] [2025-07-19 11:34:55] [  5]  16.00-17.00  sec  11.0 MBytes  91.9 Mbits/sec  0.098 ms  2943/10875 (27%)
[UE3] [2025-07-19 11:34:56] [  5]  17.00-18.00  sec  9.51 MBytes  79.8 Mbits/sec  3.010 ms  2634/9523 (28%)
[UE3] [2025-07-19 11:34:57] [  5]  18.00-19.00  sec  11.0 MBytes  91.9 Mbits/sec  0.122 ms  3245/11179 (29%)
[UE3] [2025-07-19 11:34:58] [  5]  19.00-20.00  sec  10.3 MBytes  86.7 Mbits/sec  0.071 ms  2777/10264 (27%)
[UE3] [2025-07-19 11:34:59] [  5]  20.00-21.00  sec  9.55 MBytes  80.1 Mbits/sec  0.112 ms  2469/9388 (26%)
[UE3] [2025-07-19 11:35:00] [  5]  21.00-22.00  sec  10.1 MBytes  85.0 Mbits/sec  0.114 ms  3506/10846 (32%)
[UE3] [2025-07-19 11:35:01] [  5]  22.00-23.00  sec  11.0 MBytes  91.9 Mbits/sec  0.096 ms  3143/11075 (28%)
[UE3] [2025-07-19 11:35:02] [  5]  23.00-24.00  sec  10.3 MBytes  86.7 Mbits/sec  0.072 ms  2752/10240 (27%)
[UE3] [2025-07-19 11:35:03] [  5]  24.00-25.00  sec  10.1 MBytes  85.0 Mbits/sec  0.073 ms  2751/10091 (27%)
[UE3] [2025-07-19 11:35:04] [  5]  25.00-26.00  sec  10.1 MBytes  85.1 Mbits/sec  0.122 ms  2701/10048 (27%)
[UE3] [2025-07-19 11:35:05] [  5]  26.00-27.00  sec  9.72 MBytes  81.6 Mbits/sec  0.069 ms  2624/9665 (27%)
[UE3] [2025-07-19 11:35:06] [  5]  27.00-28.00  sec  9.54 MBytes  80.1 Mbits/sec  0.100 ms  3587/10499 (34%)
[UE3] [2025-07-19 11:35:07] [  5]  28.00-29.00  sec  10.1 MBytes  85.0 Mbits/sec  0.111 ms  3736/11070 (34%)
[UE3] [2025-07-19 11:35:08] [  5]  29.00-30.00  sec  10.3 MBytes  86.1 Mbits/sec  0.093 ms  3040/10474 (29%)
[UE3] [2025-07-19 11:35:09] [  5]  30.00-31.00  sec  10.3 MBytes  86.8 Mbits/sec  0.074 ms  2975/10469 (28%)
[UE3] [2025-07-19 11:35:10] [  5]  31.00-32.00  sec  10.1 MBytes  85.0 Mbits/sec  0.076 ms  3008/10348 (29%)
[UE3] [2025-07-19 11:35:11] [  5]  32.00-33.00  sec  10.3 MBytes  86.7 Mbits/sec  0.126 ms  2961/10444 (28%)
[UE3] [2025-07-19 11:35:12] [  5]  33.00-34.00  sec  10.2 MBytes  85.3 Mbits/sec  0.122 ms  2935/10298 (29%)
[UE3] [2025-07-19 11:35:13] [  5]  34.00-35.00  sec  10.3 MBytes  86.8 Mbits/sec  0.093 ms  3019/10511 (29%)
[UE3] [2025-07-19 11:35:14] [  5]  35.00-36.00  sec  10.1 MBytes  85.0 Mbits/sec  0.085 ms  2782/10123 (27%)
[UE3] [2025-07-19 11:35:15] [  5]  36.00-37.00  sec  10.3 MBytes  86.7 Mbits/sec  0.110 ms  2849/10331 (28%)
[UE3] [2025-07-19 11:35:16] [  5]  37.00-38.00  sec  10.1 MBytes  85.1 Mbits/sec  0.098 ms  2892/10237 (28%)
[UE3] [2025-07-19 11:35:17] [  5]  38.00-39.00  sec  9.52 MBytes  79.9 Mbits/sec  0.119 ms  2674/9569 (28%)
[UE3] [2025-07-19 11:35:18] [  5]  39.00-40.00  sec  10.3 MBytes  86.8 Mbits/sec  0.063 ms  3451/10940 (32%)
[UE3] [2025-07-19 11:35:19] [  5]  40.00-41.00  sec  10.1 MBytes  85.0 Mbits/sec  0.076 ms  3259/10595 (31%)
[UE3] [2025-07-19 11:35:20] [  5]  41.00-42.00  sec  10.3 MBytes  86.8 Mbits/sec  0.101 ms  3201/10694 (30%)
